src,dst,weight
Flatiron,Sheepshead Bay,8
East Village,Van Cortlandt Park,7
Coney Island,Bath Beach,1
Van Cortlandt Park,Riverdale/North Riverdale/Fieldston,2
Prospect Heights,Yorkville East,5
Fort Greene,Yorkville West,22
Lincoln Square East,Manhattan Beach,4
Financial District South,Jackson Heights,48
Flushing Meadows-Corona Park,Greenwich Village South,3
Norwood,Williamsbridge/Olinville,6
Garment District,Ozone Park,10
Central Park,North Corona,5
Midtown South,New Dorp/Midland Beach,5
Manhattanville,North Corona,2
Borough Park,Dyker Heights,2
Woodside,TriBeCa/Civic Center,41
Forest Hills,Sutton Place/Turtle Bay North,10
Long Island City/Queens Plaza,Financial District South,12
Ocean Hill,Crown Heights South,3
Brooklyn Navy Yard,Cobble Hill,3
Midtown East,Co-Op City,7
Williamsburg (South Side),New Dorp/Midland Beach,1
Crotona Park East,East Tremont,3
Lower East Side,Cambria Heights,1
Murray Hill,Manhattan Beach,5
SoHo,Richmond Hill,2
Sunnyside,Ridgewood,67
Midtown North,Flushing,66
Jackson Heights,Gramercy,16
Financial District North,Parkchester,4
TriBeCa/Civic Center,Briarwood/Jamaica Hills,14
Lincoln Square East,Oakland Gardens,8
Chinatown,Williamsbridge/Olinville,6
Clinton Hill,Williamsbridge/Olinville,1
Little Italy/NoLiTa,Longwood,4
Downtown Brooklyn/MetroTech,Elmhurst,8
Yorkville West,Brooklyn Navy Yard,8
Meatpacking/West Village West,East Flushing,2
SoHo,East Elmhurst,7
Hunts Point,Longwood,3
Central Harlem,Williamsburg (South Side),8
Borough Park,World Trade Center,2
Stuyvesant Heights,Upper East Side South,1
University Heights/Morris Heights,Kingsbridge Heights,3
Bay Ridge,South Beach/Dongan Hills,3
Flatbush/Ditmas Park,Times Sq/Theatre District,3
South Ozone Park,Old Astoria,1
Yorkville East,East Flushing,2
Bloomingdale,Bedford,2
Flushing Meadows-Corona Park,Glen Oaks,1
Long Island City/Queens Plaza,Borough Park,1
Meatpacking/West Village West,Queensbridge/Ravenswood,7
Windsor Terrace,Upper East Side North,1
Penn Station/Madison Sq West,City Island,2
Parkchester,Highbridge,1
Upper West Side North,Jamaica,4
Alphabet City,Allerton/Pelham Gardens,2
Crown Heights North,Roosevelt Island,1
Murray Hill-Queens,Flushing Meadows-Corona Park,1
Battery Park City,Riverdale/North Riverdale/Fieldston,6
West Farms/Bronx River,Hunts Point,2
Marine Park/Mill Basin,Bushwick South,1
Kew Gardens,Whitestone,1
East Chelsea,West Brighton,1
Steinway,Fordham South,2
Prospect Park,Newark Airport,1
Claremont/Bathgate,Norwood,1
Van Nest/Morris Park,Van Cortlandt Village,1
Astoria,Cambria Heights,1
Old Astoria,Melrose South,1
Ocean Hill,Two Bridges/Seward Park,1
Bloomingdale,Bronxdale,1
NA,Two Bridges/Seward Park,1
North Corona,Crown Heights North,1
Gravesend,Gramercy,1
Bronxdale,Highbridge,1
Richmond Hill,East Chelsea,1
Lincoln Square West,Lincoln Square West,6726
East Harlem South,East Harlem South,6540
Yorkville East,Garment District,736
Greenwich Village South,Kensington,65
Lincoln Square East,Garment District,2939
Morningside Heights,Upper East Side North,1900
DUMBO/Vinegar Hill,DUMBO/Vinegar Hill,109
Meatpacking/West Village West,Boerum Hill,196
Forest Hills,Murray Hill,37
Gramercy,Manhattanville,105
Bloomingdale,Sunnyside,29
Bushwick North,Astoria,13
Lenox Hill East,Midtown Center,5368
West Chelsea/Hudson Yards,Murray Hill,3757
Financial District North,Financial District North,1685
Upper West Side North,West Village,467
Lincoln Square West,Central Harlem,772
Sunnyside,Financial District North,72
Downtown Brooklyn/MetroTech,Little Italy/NoLiTa,300
Astoria,Greenpoint,118
Battery Park City,Yorkville East,267
East Williamsburg,DUMBO/Vinegar Hill,16
Penn Station/Madison Sq West,Long Island City/Hunters Point,546
Chinatown,Battery Park City,588
World Trade Center,Clinton West,441
LaGuardia Airport,Prospect Park,56
Midtown Center,Cobble Hill,212
Lenox Hill West,Elmhurst,170
LaGuardia Airport,Soundview/Castle Hill,101
Gramercy,Steinway,336
Elmhurst,Jamaica Estates,4
Upper West Side South,West Concourse,93
Sunnyside,Corona,62
South Williamsburg,Bushwick South,44
Gramercy,Sunset Park West,109
Bushwick South,Park Slope,44
Union Sq,Ocean Hill,38
Crown Heights South,Canarsie,5
Long Island City/Hunters Point,Meatpacking/West Village West,25
Yorkville West,Morrisania/Melrose,46
Hudson Sq,Yorkville East,166
Financial District South,Marine Park/Mill Basin,12
Bloomingdale,Stuy Town/Peter Cooper Village,14
Washington Heights North,Highbridge,29
Bushwick North,Central Harlem,3
Sunset Park West,Downtown Brooklyn/MetroTech,14
Battery Park City,Fort Greene,115
Central Harlem,Crown Heights North,17
Washington Heights South,Yorkville East,23
Morningside Heights,Gowanus,3
Murray Hill,Flatlands,18
Jackson Heights,Laurelton,1
Financial District South,Lincoln Square West,203
Times Sq/Theatre District,Elmhurst/Maspeth,94
Alphabet City,Roosevelt Island,12
Hamilton Heights,East Tremont,9
Bedford,Financial District North,5
East Williamsburg,Springfield Gardens South,2
Greenwich Village North,Heartland Village/Todt Hill,2
West Village,East Elmhurst,15
Kew Gardens Hills,Bayside,1
Crown Heights North,Clinton East,14
Two Bridges/Seward Park,Mott Haven/Port Morris,18
East Village,Mount Hope,21
Jackson Heights,Battery Park City,5
JFK Airport,Van Nest/Morris Park,104
Lenox Hill East,Queensbridge/Ravenswood,103
Washington Heights North,Norwood,4
Sutton Place/Turtle Bay North,Parkchester,13
Carroll Gardens,Midtown South,44
Park Slope,Central Park,19
Eastchester,Pelham Bay,2
Boerum Hill,Corona,4
SoHo,South Williamsburg,28
Flushing Meadows-Corona Park,World Trade Center,7
Randalls Island,Times Sq/Theatre District,11
Lenox Hill East,Springfield Gardens North,3
East Harlem North,Clinton Hill,7
Steinway,SoHo,2
Flushing,Clinton East,4
East Harlem North,Brooklyn Navy Yard,14
Cobble Hill,Sheepshead Bay,1
World Trade Center,Madison,10
East Flatbush/Farragut,Brownsville,2
Gravesend,East Chelsea,1
Long Island City/Hunters Point,Mott Haven/Port Morris,3
West Chelsea/Hudson Yards,Kew Gardens Hills,9
Elmhurst/Maspeth,South Williamsburg,2
Williamsburg (North Side),Homecrest,3
Yorkville West,Marine Park/Mill Basin,2
Whitestone,NA,12
Garment District,Douglaston,5
Sunnyside,Pelham Parkway,2
Claremont/Bathgate,Woodlawn/Wakefield,1
Carroll Gardens,Borough Park,9
Greenwich Village South,Woodlawn/Wakefield,12
Hunts Point,East Harlem South,3
Sutton Place/Turtle Bay North,Brooklyn Navy Yard,4
Murray Hill-Queens,Bellerose,1
Steinway,Clinton Hill,3
Jamaica,Flatiron,5
Cypress Hills,Financial District South,1
Carroll Gardens,Madison,2
Ocean Hill,Briarwood/Jamaica Hills,1
Stuyvesant Heights,Times Sq/Theatre District,1
East Harlem South,East Flatbush/Remsen Village,2
Central Park,Fordham South,1
Arrochar/Fort Wadsworth,Saint George/New Brighton,1
Roosevelt Island,Greenpoint,3
Astoria,Soundview/Castle Hill,1
Forest Hills,Auburndale,3
Spuyten Duyvil/Kingsbridge,Westchester Village/Unionport,1
Battery Park,Canarsie,1
Prospect Heights,Bayside,1
East Flatbush/Remsen Village,JFK Airport,1
West Concourse,Penn Station/Madison Sq West,2
Brooklyn Heights,Queens Village,1
Battery Park,Brownsville,2
Two Bridges/Seward Park,Allerton/Pelham Gardens,1
Union Sq,Breezy Point/Fort Tilden/Riis Beach,3
Queensbridge/Ravenswood,Prospect-Lefferts Gardens,1
West Concourse,Seaport,2
Bedford,Schuylerville/Edgewater Park,1
Long Island City/Hunters Point,Longwood,1
Crown Heights South,Queensbridge/Ravenswood,1
Jamaica,Canarsie,1
South Jamaica,Richmond Hill,1
Flushing,UN/Turtle Bay South,2
East Tremont,Bronxdale,1
Ocean Parkway South,Sheepshead Bay,1
Inwood,Windsor Terrace,1
East Chelsea,Union Sq,12554
Midtown North,Lincoln Square West,5756
Park Slope,Prospect-Lefferts Gardens,241
Central Park,Upper East Side North,9437
Lower East Side,Clinton West,737
Sunnyside,Lincoln Square West,39
Manhattanville,Spuyten Duyvil/Kingsbridge,23
East Chelsea,Financial District North,1766
Upper West Side North,Yorkville West,4630
Prospect Heights,Times Sq/Theatre District,10
Old Astoria,Gramercy,44
Seaport,Penn Station/Madison Sq West,285
Hamilton Heights,Lenox Hill East,43
Kips Bay,Lower East Side,2092
Financial District South,Queensbridge/Ravenswood,3
East Chelsea,Battery Park City,3196
Alphabet City,Union Sq,939
Gowanus,Two Bridges/Seward Park,3
East Harlem North,Lincoln Square East,297
Long Island City/Queens Plaza,Meatpacking/West Village West,14
Stuy Town/Peter Cooper Village,Midwood,2
Downtown Brooklyn/MetroTech,Penn Station/Madison Sq West,108
Lower East Side,Central Park,317
Crown Heights North,Park Slope,85
LaGuardia Airport,Battery Park City,2039
Sunnyside,Upper East Side North,313
Upper East Side North,Little Italy/NoLiTa,541
Long Island City/Queens Plaza,Battery Park,2
LaGuardia Airport,Bellerose,70
Chinatown,Upper East Side South,159
Midtown North,Belmont,9
LaGuardia Airport,Flushing Meadows-Corona Park,144
East Chelsea,Brooklyn Heights,401
Union Sq,Carroll Gardens,439
Lower East Side,Prospect Heights,422
Battery Park,Midtown Center,116
Washington Heights North,Hamilton Heights,65
Brooklyn Heights,Sunset Park East,22
JFK Airport,Saint George/New Brighton,57
Upper East Side North,Long Island City/Queens Plaza,88
Lower East Side,Bay Ridge,172
Old Astoria,Richmond Hill,2
Upper West Side South,Jackson Heights,93
Steinway,Ridgewood,5
Upper East Side South,East Elmhurst,37
East Tremont,Mount Hope,9
Alphabet City,Melrose South,11
Bensonhurst West,Gravesend,2
Sunnyside,Clinton Hill,38
Lenox Hill West,Alphabet City,384
Clinton East,Murray Hill-Queens,16
Kips Bay,NA,56
Greenwich Village North,Woodside,78
Morrisania/Melrose,Highbridge,6
Lenox Hill West,Forest Hills,172
Clinton West,Country Club,2
Fort Greene,Dyker Heights,8
Greenpoint,Downtown Brooklyn/MetroTech,24
Maspeth,Kips Bay,2
Hamilton Heights,Little Italy/NoLiTa,14
Old Astoria,East Flushing,2
West Chelsea/Hudson Yards,Rego Park,17
Bushwick South,Gramercy,12
Morrisania/Melrose,Fordham South,1
Upper East Side North,Queensbridge/Ravenswood,25
Brooklyn Heights,Ocean Hill,7
Steinway,Rego Park,3
Clinton Hill,Lincoln Square East,5
Astoria,Bensonhurst East,1
East Concourse/Concourse Village,Central Harlem North,27
Times Sq/Theatre District,Breezy Point/Fort Tilden/Riis Beach,3
Downtown Brooklyn/MetroTech,Old Astoria,8
East Elmhurst,Upper West Side South,5
Lenox Hill East,East Elmhurst,22
Rego Park,Garment District,3
Gowanus,Steinway,4
Washington Heights North,Times Sq/Theatre District,19
Astoria Park,Sunnyside,6
Van Cortlandt Village,Inwood,3
Midtown East,Cypress Hills,5
East Harlem South,Jamaica Estates,6
Yorkville East,Highbridge Park,4
SoHo,Springfield Gardens North,1
Financial District South,College Point,5
Kew Gardens,Murray Hill,1
South Ozone Park,Alphabet City,2
Forest Park/Highland Park,Long Island City/Hunters Point,1
Crown Heights South,Gowanus,2
Alphabet City,Jamaica,2
Newark Airport,Times Sq/Theatre District,1
Corona,Central Harlem North,2
Jackson Heights,Bushwick North,7
Old Astoria,Hunts Point,1
Battery Park City,Springfield Gardens South,1
South Ozone Park,Jamaica,5
Greenwich Village North,Richmond Hill,3
Seaport,Far Rockaway,1
Bensonhurst West,NV,2
Central Park,Inwood Hill Park,4
Queens Village,Briarwood/Jamaica Hills,1
Pelham Bay Park,East Harlem North,1
Alphabet City,East Flushing,2
University Heights/Morris Heights,Crotona Park East,1
Penn Station/Madison Sq West,Rosedale,4
Financial District South,Mariners Harbor,1
Briarwood/Jamaica Hills,Rosedale,1
Columbia Street,Garment District,2
Clinton East,Hammels/Arverne,5
Battery Park,Steinway,1
Flatbush/Ditmas Park,Middle Village,1
Steinway,Pelham Parkway,2
Brighton Beach,Borough Park,1
Astoria,Country Club,1
Cypress Hills,Springfield Gardens South,2
Upper West Side North,Ocean Hill,1
Gramercy,South Beach/Dongan Hills,1
East Village,Midtown North,2190
Greenwich Village South,East Chelsea,3985
Lower East Side,Bushwick South,1419
Union Sq,Washington Heights South,521
Clinton East,Midtown East,8772
World Trade Center,Astoria,91
Gramercy,Garment District,3451
Hamilton Heights,East Harlem North,470
Times Sq/Theatre District,Two Bridges/Seward Park,680
Upper West Side North,Garment District,785
TriBeCa/Civic Center,Kips Bay,1487
Bushwick North,Upper East Side North,2
Upper West Side North,Bloomingdale,4474
Lenox Hill West,Lincoln Square West,1881
Upper West Side North,Melrose South,78
Lincoln Square East,Clinton West,5230
Murray Hill,TriBeCa/Civic Center,3867
Alphabet City,Bedford Park,5
LaGuardia Airport,Lower East Side,1201
SoHo,Crown Heights North,170
Hamilton Heights,East Chelsea,134
Carroll Gardens,Bushwick South,22
Lenox Hill West,Bushwick North,44
Union Sq,Upper West Side South,2720
Manhattan Valley,Hamilton Heights,1055
East Harlem North,Morrisania/Melrose,96
Yorkville East,West Chelsea/Hudson Yards,385
Carroll Gardens,Garment District,19
Upper East Side North,SoHo,491
Long Island City/Queens Plaza,Washington Heights South,45
Yorkville West,West Concourse,75
Financial District South,Yorkville East,288
Clinton East,Crown Heights North,235
World Trade Center,Red Hook,50
Greenwich Village North,Newark Airport,174
Meatpacking/West Village West,NA,155
Two Bridges/Seward Park,Central Park,51
Elmhurst/Maspeth,Steinway,19
Greenwich Village North,Yorkville West,723
Midtown East,Soundview/Castle Hill,23
Park Slope,Bushwick North,56
East Chelsea,NV,273
Corona,Times Sq/Theatre District,12
Chinatown,Sunset Park West,28
East Chelsea,Stuyvesant Heights,157
South Jamaica,Upper West Side South,12
SoHo,Long Island City/Hunters Point,93
Astoria,Clinton West,58
Elmhurst/Maspeth,East Village,8
Inwood,University Heights/Morris Heights,9
Gramercy,Morrisania/Melrose,25
Fordham South,Fordham South,15
Carroll Gardens,Bushwick North,15
Murray Hill,Crown Heights North,239
TriBeCa/Civic Center,Washington Heights North,169
Bedford,Yorkville West,2
Crown Heights South,West Village,3
Greenwich Village North,Jackson Heights,122
Brooklyn Heights,Kips Bay,81
Midtown Center,Glen Oaks,6
Columbia Street,Brooklyn Navy Yard,1
Co-Op City,Co-Op City,31
Astoria,Battery Park City,26
Woodhaven,Woodhaven,39
Penn Station/Madison Sq West,Melrose South,44
Meatpacking/West Village West,Corona,12
Midtown East,South Ozone Park,36
Flatbush/Ditmas Park,Erasmus,30
East Williamsburg,Times Sq/Theatre District,10
Williamsburg (South Side),Madison,1
Jackson Heights,East Chelsea,6
Greenpoint,Midtown South,16
West Concourse,Mott Haven/Port Morris,81
Bushwick North,Woodside,8
Yorkville West,Hollis,1
Brooklyn Heights,Prospect-Lefferts Gardens,26
Times Sq/Theatre District,Howard Beach,20
Bedford,Bay Ridge,1
Midtown South,Schuylerville/Edgewater Park,18
Seaport,Morningside Heights,19
World Trade Center,Prospect Park,9
World Trade Center,Flatlands,24
Roosevelt Island,Washington Heights South,1
Sunnyside,Hudson Sq,26
Garment District,Williamsbridge/Olinville,22
Seaport,Sunset Park East,20
Springfield Gardens South,Garment District,2
Clinton West,Baisley Park,4
Central Harlem North,Stuyvesant Heights,8
Lincoln Square East,Sunset Park West,34
Clinton East,Glen Oaks,2
Two Bridges/Seward Park,Fordham South,8
Boerum Hill,Elmhurst/Maspeth,1
Gramercy,Pelham Bay Park,2
Columbia Street,Kensington,4
Garment District,Madison,19
Midtown Center,Brownsville,9
Long Island City/Queens Plaza,Longwood,2
Springfield Gardens South,Lincoln Square East,2
Maspeth,Clinton East,7
Greenwich Village South,Erasmus,27
Battery Park City,South Beach/Dongan Hills,7
Brooklyn Navy Yard,Morningside Heights,1
Manhattanville,Fort Greene,5
Central Harlem,Park Slope,6
Midtown East,Flushing Meadows-Corona Park,11
Garment District,College Point,16
Downtown Brooklyn/MetroTech,University Heights/Morris Heights,1
Springfield Gardens South,East Harlem South,5
Central Harlem North,Fresh Meadows,1
Hudson Sq,Schuylerville/Edgewater Park,2
Battery Park,Boerum Hill,12
Union Sq,Claremont/Bathgate,4
Elmhurst/Maspeth,East Flushing,2
West Chelsea/Hudson Yards,Canarsie,8
Gramercy,Bath Beach,4
World Trade Center,Belmont,6
Bushwick South,Whitestone,1
Springfield Gardens South,Greenwich Village North,4
Saint Albans,Hollis,1
TriBeCa/Civic Center,Manhattan Beach,5
Inwood,Soundview/Bruckner,1
Baisley Park,Cobble Hill,1
Garment District,Heartland Village/Todt Hill,3
Lower East Side,Far Rockaway,2
Downtown Brooklyn/MetroTech,Midwood,9
Yorkville West,Highbridge Park,5
Upper West Side South,Queens Village,2
Bloomingdale,Rego Park,1
Williamsburg (South Side),Flatlands,2
Auburndale,Douglaston,1
South Beach/Dongan Hills,South Beach/Dongan Hills,4
Flatbush/Ditmas Park,Hammels/Arverne,2
Bay Ridge,Charleston/Tottenville,1
Soundview/Castle Hill,Woodlawn/Wakefield,1
Lenox Hill East,Arden Heights,1
Murray Hill,Hollis,1
Longwood,West Farms/Bronx River,3
Clinton Hill,Marine Park/Mill Basin,1
World Trade Center,Auburndale,3
Clinton Hill,Bensonhurst West,3
Steinway,Schuylerville/Edgewater Park,1
Morningside Heights,Manhattan Beach,2
Randalls Island,Kips Bay,1
Battery Park,Highbridge,1
Bronx Park,Central Park,1
Morningside Heights,Springfield Gardens North,1
Lower East Side,Mount Hope,22
Little Italy/NoLiTa,East Village,7789
Greenwich Village South,Bedford Park,24
Astoria,Times Sq/Theatre District,97
Garment District,Clinton West,4832
Upper West Side South,LaGuardia Airport,1786
Garment District,Central Harlem North,507
Queensbridge/Ravenswood,Morningside Heights,12
Hamilton Heights,Central Harlem,802
Lenox Hill West,Central Harlem North,549
Astoria,Corona,58
JFK Airport,Williamsbridge/Olinville,137
Melrose South,Mott Haven/Port Morris,67
East Elmhurst,Elmhurst,48
West Village,Ridgewood,181
Kips Bay,Greenwich Village North,2484
Glendale,Sunnyside,1
South Jamaica,Upper West Side North,6
Greenwich Village South,Upper West Side South,1080
Lenox Hill West,Central Park,3356
Chinatown,Sutton Place/Turtle Bay North,193
LaGuardia Airport,Stuy Town/Peter Cooper Village,869
Clinton Hill,Sutton Place/Turtle Bay North,4
Murray Hill,West Concourse,34
Starrett City,East New York,2
Boerum Hill,Prospect-Lefferts Gardens,77
Yorkville East,East Flatbush/Remsen Village,7
Hamilton Heights,West Village,34
East Williamsburg,UN/Turtle Bay South,13
Meatpacking/West Village West,Battery Park City,3317
Upper West Side North,Little Italy/NoLiTa,185
Williamsburg (South Side),South Williamsburg,123
Forest Hills,Rego Park,87
Penn Station/Madison Sq West,Co-Op City,26
Battery Park City,Homecrest,10
Union Sq,Brighton Beach,14
SoHo,Kips Bay,797
Downtown Brooklyn/MetroTech,Bedford,209
Midtown North,Downtown Brooklyn/MetroTech,167
Morningside Heights,Upper East Side South,870
Downtown Brooklyn/MetroTech,TriBeCa/Civic Center,524
Sutton Place/Turtle Bay North,Chinatown,301
Chinatown,Cypress Hills,4
UN/Turtle Bay South,Boerum Hill,145
Yorkville West,Longwood,50
Murray Hill,Forest Park/Highland Park,2
Sunset Park West,Carroll Gardens,34
Downtown Brooklyn/MetroTech,Long Island City/Hunters Point,22
Lower East Side,Flushing,39
Greenwich Village North,Hamilton Heights,188
Lincoln Square West,Gowanus,12
Yorkville East,Co-Op City,4
Prospect Heights,Lenox Hill West,5
Hamilton Heights,Bushwick North,3
Steinway,Upper East Side North,73
Park Slope,Washington Heights South,9
Long Island City/Queens Plaza,Yorkville East,76
Flushing,Jackson Heights,23
Yorkville East,Rego Park,39
Flatiron,Bensonhurst West,22
Penn Station/Madison Sq West,Spuyten Duyvil/Kingsbridge,109
Lincoln Square East,Fordham South,5
East Chelsea,Middle Village,31
Meatpacking/West Village West,Bedford,129
Clinton Hill,Auburndale,1
Greenwich Village North,Bay Ridge,107
Prospect-Lefferts Gardens,Boerum Hill,28
Hudson Sq,East New York/Pennsylvania Avenue,2
East Harlem South,South Ozone Park,7
Little Italy/NoLiTa,Columbia Street,73
Red Hook,Greenwich Village North,5
Alphabet City,Woodside,22
Sheepshead Bay,Sheepshead Bay,41
Schuylerville/Edgewater Park,Claremont/Bathgate,1
Prospect Heights,UN/Turtle Bay South,6
Maspeth,Upper West Side South,1
Randalls Island,Bloomingdale,4
SoHo,Pelham Parkway,2
Washington Heights South,Co-Op City,6
Van Cortlandt Village,Belmont,1
Cobble Hill,Midtown North,43
Rego Park,Murray Hill,10
Central Park,East New York,9
Cobble Hill,Windsor Terrace,18
Flatiron,Ocean Parkway South,9
World Trade Center,Kew Gardens Hills,11
Seaport,Corona,2
Steinway,Midtown North,28
Lenox Hill West,Jamaica,13
South Ozone Park,Columbia Street,2
Meatpacking/West Village West,Bloomingdale,141
Brooklyn Heights,Long Island City/Queens Plaza,2
NV,Homecrest,14
NV,Bronxdale,5
Highbridge,Meatpacking/West Village West,1
Chinatown,Hammels/Arverne,1
Windsor Terrace,Lenox Hill East,2
Bensonhurst East,Ocean Parkway South,1
Pelham Parkway,Co-Op City,1
Two Bridges/Seward Park,Homecrest,3
UN/Turtle Bay South,University Heights/Morris Heights,5
Bay Terrace/Fort Totten,East Elmhurst,1
Battery Park,Madison,1
NV,Kensington,6
Downtown Brooklyn/MetroTech,Jamaica Estates,1
Rego Park,Mott Haven/Port Morris,2
Seaport,Hillcrest/Pomonok,1
Bayside,Queensboro Hill,1
Union Sq,Forest Park/Highland Park,3
Bay Ridge,Battery Park City,1
NA,World Trade Center,2
Crotona Park East,Bedford Park,1
Battery Park City,Hammels/Arverne,1
Midtown North,Country Club,6
Yorkville East,Arrochar/Fort Wadsworth,1
Yorkville East,Marine Park/Mill Basin,3
Financial District North,Co-Op City,2
Maspeth,Union Sq,2
Brownsville,Carroll Gardens,1
Jamaica Estates,Jackson Heights,1
Financial District North,Springfield Gardens North,1
Elmhurst,Saint Albans,2
Flushing,Marine Park/Mill Basin,1
University Heights/Morris Heights,Van Cortlandt Park,1
Washington Heights North,Bronx Park,1
Brighton Beach,Crown Heights North,1
Maspeth,Lenox Hill West,1
Gramercy,Gramercy,10654
East Harlem South,Jamaica,13
Manhattanville,Penn Station/Madison Sq West,52
Sutton Place/Turtle Bay North,SoHo,582
JFK Airport,Prospect-Lefferts Gardens,1095
West Chelsea/Hudson Yards,Hamilton Heights,291
Alphabet City,Midtown Center,257
Lenox Hill West,Upper East Side North,22874
Upper East Side North,Washington Heights South,787
East Chelsea,Lincoln Square East,3984
Midtown North,Midtown South,6538
Midtown South,Flatiron,4661
Stuy Town/Peter Cooper Village,Lenox Hill West,347
Bloomingdale,Flatiron,93
Greenwich Village South,LaGuardia Airport,342
Alphabet City,Hamilton Heights,47
Manhattanville,Melrose South,20
Union Sq,Lincoln Square East,3622
Washington Heights North,Midtown East,6
Washington Heights South,Newark Airport,8
Queensbridge/Ravenswood,Midtown South,21
Greenwich Village South,Times Sq/Theatre District,2913
Greenwich Village North,LaGuardia Airport,837
Yorkville East,Washington Heights North,172
Downtown Brooklyn/MetroTech,Prospect-Lefferts Gardens,61
Lower East Side,Downtown Brooklyn/MetroTech,666
Financial District North,Hudson Sq,640
Stuy Town/Peter Cooper Village,Clinton West,104
Midtown East,Bedford,193
Downtown Brooklyn/MetroTech,Williamsburg (South Side),168
Long Island City/Queens Plaza,Midtown South,84
Jackson Heights,Elmhurst,365
NV,West Village,369
Union Sq,Erasmus,49
SoHo,Coney Island,1
Times Sq/Theatre District,Baisley Park,50
Lincoln Square East,Seaport,153
Lincoln Square East,Manhattanville,487
Jackson Heights,Yorkville West,14
East Williamsburg,Long Island City/Queens Plaza,12
Astoria,Manhattan Valley,24
East Village,Pelham Bay,9
Yorkville West,Bushwick South,58
Seaport,Elmhurst,10
Greenpoint,Manhattanville,1
Prospect Heights,Williamsburg (North Side),30
Jackson Heights,Inwood,2
Yorkville East,Boerum Hill,32
Flatiron,Van Cortlandt Village,21
Clinton Hill,Red Hook,13
Meatpacking/West Village West,Mott Haven/Port Morris,19
Morningside Heights,Norwood,10
Hunts Point,Parkchester,3
West Concourse,Spuyten Duyvil/Kingsbridge,2
Stuyvesant Heights,Red Hook,4
Soundview/Bruckner,Soundview/Bruckner,30
Rego Park,Jackson Heights,27
Prospect Park,SoHo,2
East Chelsea,Parkchester,22
Roosevelt Island,Forest Hills,1
Crotona Park East,West Farms/Bronx River,5
Prospect Heights,Flatiron,12
Bedford Park,Norwood,5
Garment District,Jamaica,26
Battery Park City,Arrochar/Fort Wadsworth,2
Upper East Side North,Glendale,16
West Village,Arrochar/Fort Wadsworth,8
Central Harlem,Allerton/Pelham Gardens,5
Boerum Hill,Prospect Park,37
Parkchester,Washington Heights South,1
Glendale,Williamsbridge/Olinville,1
LaGuardia Airport,Randalls Island,45
Park Slope,Lincoln Square West,14
Financial District South,East Concourse/Concourse Village,7
Central Park,Ridgewood,15
Washington Heights North,Greenwich Village North,2
Steinway,Bedford,7
East Williamsburg,Canarsie,3
Elmhurst/Maspeth,Little Italy/NoLiTa,14
Bushwick North,Rosedale,1
Rego Park,Jamaica Estates,4
Battery Park,Upper West Side North,7
Upper East Side South,Bayside,8
Yorkville East,Auburndale,1
Kips Bay,Columbia Street,19
Columbia Street,LaGuardia Airport,8
Van Nest/Morris Park,Mount Hope,1
Bath Beach,Lower East Side,1
Clinton Hill,South Ozone Park,1
Ridgewood,DUMBO/Vinegar Hill,1
Yorkville East,Crotona Park East,6
Brooklyn Navy Yard,Midtown East,2
East Concourse/Concourse Village,Sutton Place/Turtle Bay North,1
Soundview/Castle Hill,Central Park,1
Upper West Side North,Queensboro Hill,3
Upper East Side South,Marble Hill,4
Middle Village,Maspeth,4
Kensington,West Village,2
Bushwick North,Bronxdale,1
Brooklyn Navy Yard,Kips Bay,1
Madison,Morningside Heights,1
Co-Op City,NA,2
Kew Gardens Hills,Midtown East,3
West Concourse,Greenwich Village North,1
Prospect Park,Marine Park/Mill Basin,2
Upper West Side South,Springfield Gardens North,2
Kew Gardens,Upper East Side North,1
Lenox Hill West,Bellerose,1
Kensington,West Chelsea/Hudson Yards,2
Springfield Gardens South,Crown Heights South,2
Bensonhurst East,Sunset Park East,1
Lincoln Square West,Queens Village,1
West Concourse,Schuylerville/Edgewater Park,1
Prospect Park,Alphabet City,1
Prospect Park,Upper East Side South,1
Elmhurst,Oakland Gardens,1
East Village,Long Island City/Queens Plaza,288
JFK Airport,Central Harlem,1135
Newark Airport,Newark Airport,645
Morningside Heights,JFK Airport,327
Bushwick South,Clinton Hill,78
Central Harlem North,LaGuardia Airport,105
Gramercy,Manhattan Valley,447
Garment District,Midtown South,6337
Midtown South,Little Italy/NoLiTa,2469
Clinton West,Gowanus,11
Gramercy,Central Park,817
World Trade Center,East Chelsea,1314
Jamaica,Briarwood/Jamaica Hills,20
Times Sq/Theatre District,Lenox Hill East,3096
Lincoln Square East,Midtown South,3195
Clinton East,Long Island City/Queens Plaza,262
Midtown Center,Park Slope,510
Sunnyside,Steinway,281
Hudson Sq,Midtown North,621
Central Harlem,Midtown Center,336
Chinatown,Greenwich Village South,448
Cobble Hill,Battery Park City,67
Central Park,Meatpacking/West Village West,484
Lower East Side,Lincoln Square West,423
Jackson Heights,Whitestone,7
Midtown East,Greenwich Village South,2500
Hamilton Heights,Inwood,100
West Chelsea/Hudson Yards,Central Harlem North,312
Midtown East,NV,374
Williamsburg (South Side),Prospect Heights,63
NV,Manhattanville,67
Upper West Side South,Van Cortlandt Village,32
Gowanus,Windsor Terrace,45
West Chelsea/Hudson Yards,Jackson Heights,84
Lenox Hill West,Maspeth,62
Central Harlem North,Belmont,6
Upper West Side North,East Williamsburg,34
